name,index
ARF4,856
SYNP2,857
ROBO1,858
PGRP4,859
CENPV,860
AKAP1,861
C1S,862
NACA2,863
SYIM,864
SAFB2,865
NOP53,866
XRCC6,867
ABLM3,868
TEKT1,869
FBW1B,870
NTPCR,871
NKD1,872
DDI2,873
ELAV1,874
CALM1,875
OR6Y1,876
BRI3B,877
OGT1,878
KAD3,879
SNX6,880
XBP1,881
CBPC4,882
PPP5,883
PLSL,884
ICAL,885
TCR.VA24.JA18,886
TDIF2,887
PCY1A,888
ARHGI,889
BBS2,890
CD49A,891
UBP42,892
UBE3A,893
TBB6,894
PP2AA,895
ALDH2,896
DEN4C,897
A4,898
UBP31,899
RTEL1,900
TTC22,901
PXDC1,902
VIP1,903
AGRA3,904
UBP11,905
ZBED4,906
PRDX6,907
IF172,908
ORC5,909
SF3A2,910
NNMT,911
GLR,912
PCKGM,913
NRG2,914
STAU1,915
BD1L1,916
CARL1,917
MUC21,918
TRIPB,919
CD054,920
ALKB5,921
CY24A,922
KCY,923
M3K6,924
SYNC,925
PCDH8,926
SCAF4,927
LELP1,928
NHP2,929
JUPI2,930
TRUB1,931
RU2A,932
CFA58,933
CERS2,934
RAP2B,935
PYAS1,936
SRSF9,937
SOX9,938
CD8B.2ST8.5H7,939
EFC11,940
TIAM1,941
ADCY1,942
CPT1A,943
ACOT9,944
FERM1,945
PSMD5,946
AATC,947
EMC2,948
GNAS2,949
ERB,950
ARHGB,951
SYYM,952
C1QBP,953
FANK1,954
PSB1,955
GDN,956
STT3A,957
LGSN,958
CD97,959
PSMG1,960
CC178,961
PUR4,962
CD158E1,963
MF2L2,964
PA24C,965
SCML1,966
TRPV5,967
ATRX,968
XRN2,969
CTNA2,970
DNJC9,971
NEUL,972
HNRL1,973
SMCA2,974
KRT85,975
CAVN2,976
MUC5A,977
DRC2,978
KCNH8,979
TDRD5,980
UTP11,981
VP13C,982
TM109,983
MAT2B,984
NU188,985
CNPY4,986
LAT2,987
PSMD9,988
CD324,989
SPAG7,990
BUD31,991
ATG3,992
ARFP2,993
COPG2,994
PEAK3,995
LARG1,996
CILK1,997
WDR44,998
CPSM,999
REN3B,1000
CD307C,1001
OTOGL,1002
ASAH1,1003
RSF1,1004
PIN1,1005
PIR,1006
C2D4D,1007
ANXA9,1008
SMS2,1009
TPP1,1010
TTBK2,1011
VP13B,1012
CD49C,1013
ACATN,1014
TS101,1015
CCYL1,1016
TSPAN33.BAAM,1017
SPRE,1018
CILP2,1019
DUOX1,1020
FACE1,1021
HARS1,1022
HAP28,1023
PFKAL,1024
COPG1,1025
RS25,1026
SP16H,1027
PHYIP,1028
PUS7,1029
S12A5,1030
S10AD,1031
DRA,1032
LEG4,1033
TBCC1,1034
CASPC,1035
ZMYM4,1036
HMGB3,1037
CHMP5,1038
BLIMP1,1039
S35B2,1040
CD32,1041
DCTN1,1042
CAB39,1043
HDBP1,1044
COL10,1045
GP108,1046
IL37,1047
NOP2,1048
SCNNA,1049
NSDHL,1050
ELYS,1051
OMGP,1052
CD63,1053
SBDS,1054
PGAP3,1055
CENPR,1056
ZN700,1057
MAN1,1058
NAA25,1059
ACINU,1060
UBP10,1061
HPHL1,1062
ATD3B,1063
JADE2,1064
DYH14,1065
RT27,1066
XRCC5,1067
SCN4A,1068
CD46,1069
PRC2C,1070
ARF6,1071
EIF1,1072
ZN843,1073
VATA,1074
KLHL6,1075
APOC1,1076
TKT,1077
SPT2,1078
RL37,1079
VAMP3,1080
ZC3H1,1081
ZKSC1,1082
PISD,1083
CFA52,1084
KAP0,1085
MET,1086
PLCH2,1087
H2B1A,1088
DOPAMINERECEPTORD4,1089
COR1C,1090
